Breed;Color;"Age in 
Weeks";Livability;HH % Production;Min HD % Production;HD % Production;Max HD % Production;"EHH week
";EHH cum;% Hatching Eggs;HE week;HE cum;total % Hatch;saleable % Hatch;Saleable Chicks week;Saleable Chicks Cum;Egg weight week;;;;;;;
LB Classic;Brown;20;100,0%;4,5;4,4;4,5;4,6;0,3;0,3;;;;;;;;41,2;;;;;;;
LB Classic;Brown;21;99,9%;24,4;23,7;24,4;25,1;1,7;2,0;;;;;;;;44,7;;;;;;;
LB Classic;Brown;22;99,9%;45,1;43,8;45,2;46,5;3,2;5,2;;;;;;;;47,7;;;;;;;
LB Classic;Brown;23;99,8%;63,8;62,0;63,9;65,8;4,5;9,6;50;2,2;2,2;69,7;34,0;0,76;0,8;50,1;;;;;;;
LB Classic;Brown;24;99,7%;79,0;76,8;79,2;81,6;5,5;15,2;71;3,9;6,2;78,1;38,1;1,50;2,3;52,1;;;;;;;
LB Classic;Brown;25;99,6%;86,7;84,4;87,0;89,6;6,1;21,2;83;5,0;11,2;82,0;40,0;2,02;4,3;53,8;;;;;;;
LB Classic;Brown;26;99,6%;90,7;88,4;91,1;93,8;6,3;27,6;90;5,7;16,9;84,9;41,4;2,37;6,6;55,3;;;;;;;
LB Classic;Brown;27;99,5%;92,3;90,0;92,8;95,6;6,5;34,1;93;6,0;23,0;86,5;42,2;2,54;9,2;56,4;;;;;;;
LB Classic;Brown;28;99,4%;93,0;90,8;93,6;96,4;6,5;40,6;95;6,2;29,1;87,4;42,6;2,62;11,8;57,1;;;;;;;
LB Classic;Brown;29;99,3%;93,3;91,1;93,9;96,7;6,5;47,1;95;6,2;35,3;87,8;42,8;2,66;14,5;57,6;;;;;;;
LB Classic;Brown;30;99,2%;93,3;91,2;94,0;96,8;6,5;53,6;96;6,2;41,6;88,2;43,0;2,68;17,1;58,1;;;;;;;
LB Classic;Brown;31;99,1%;93,2;91,2;94,0;96,8;6,5;60,1;96;6,3;47,8;88,4;43,1;2,69;19,8;58,5;;;;;;;
LB Classic;Brown;32;99,1%;93,1;91,2;94,0;96,8;6,5;66,7;96;6,3;54,1;88,6;43,2;2,70;22,5;58,8;;;;;;;
LB Classic;Brown;33;99,0%;93,1;91,2;94,0;96,9;6,5;73,2;96;6,3;60,3;88,7;43,3;2,71;25,2;59,1;;;;;;;
LB Classic;Brown;34;98,9%;93,0;91,2;94,0;96,8;6,5;79,7;96;6,2;66,6;88,8;43,3;2,71;28,0;59,3;;;;;;;
LB Classic;Brown;35;98,8%;92,9;91,2;94,0;96,8;6,5;86,2;96;6,2;72,8;88,9;43,3;2,71;30,7;59,5;;;;;;;
LB Classic;Brown;36;98,7%;92,7;91,1;94,0;96,8;6,5;92,7;96;6,2;79,1;88,9;43,4;2,70;33,4;59,7;;;;;;;
LB Classic;Brown;37;98,6%;92,5;91,1;93,9;96,7;6,5;99,2;96;6,2;85,3;88,9;43,3;2,69;36,1;59,9;;;;;;;
LB Classic;Brown;38;98,5%;92,4;91,0;93,8;96,6;6,5;105,6;96;6,2;91,5;88,8;43,3;2,69;38,7;60,0;;;;;;;
LB Classic;Brown;39;98,3%;92,2;90,9;93,7;96,5;6,5;112,1;96;6,2;97,7;88,7;43,3;2,68;41,4;60,1;;;;;;;
LB Classic;Brown;40;98,2%;92,0;90,8;93,6;96,4;6,4;118,5;96;6,2;103,8;88,6;43,2;2,67;44,1;60,2;;;;;;;
